=== Arduino ===
rb-3dp-pr02,Bambu Lab A1 Mini,34999,Multi-colour capable FDM printer with auto-calibration. 180x180x180mm build volume.,buy,yes,3dprint,3dprint,printer
rb-3dp-pr03,Elegoo Saturn 3 Ultra MSLA,54999,"12K mono LCD resin printer. 218x123x220mm, 0.019mm XY resolution.",buy,yes,3dprint,3dprint,printer
  Filament,,,,,,,,
rb-3dp-fl01,PLA+ Filament 1kg — Black,1299,"High-quality PLA+ filament, 1.75mm, 1kg spool. Easy to print, low warping.",buy,yes,3dprint,3dprint,filament
rb-3dp-fl02,PLA+ Filament 1kg — White,1299,"White PLA+ filament, 1.75mm, 1kg. Good for painting and finishing.",buy,yes,3dprint,3dprint,filament
rb-3dp-fl03,PETG Filament 1kg — Transparent,1499,"Clear PETG filament, 1.75mm, 1kg. Food-safe, chemical resistant, low shrink.",buy,yes,3dprint,3dprint,filament
rb-3dp-fl04,TPU Filament 95A 1kg — Black,1799,"Flexible 95A TPU filament, 1.75mm. For phone cases, gaskets, grippers.",buy,yes,3dprint,3dprint,filament
rb-3dp-fl05,ABS Filament 1kg — Grey,1199,ABS filament 1.75mm 1kg. High-temperature resistance. Requires enclosure.,buy,yes,3dprint,3dprint,filament
rb-3dp-fl06,ASA Filament 1kg — Black,1599,"UV and weather-resistant ASA, 1.75mm, 1kg. For outdoor drone and RC parts.",buy,yes,3dprint,3dprint,filament
  Accessories,,,,,,,,
rb-3dp-ac01,Brass Nozzle 0.4mm MK8,99,"Standard MK8 brass nozzle, 0.4mm for Ender/Creality printers. Pack of 5.",buy,yes,3dprint,3dprint,print-accessories
rb-3dp-ac02,Hardened Steel Nozzle 0.4mm,299,"Hardened steel MK8 nozzle for abrasive filaments (carbon fibre, glow).",buy,yes,3dprint,3dprint,print-accessories
rb-3dp-ac03,Bed Adhesion PEI Spring Sheet 235x235,799,Magnetic PEI spring steel sheet for Ender 3 series. Easy print removal.,buy,yes,3dprint,3dprint,print-accessories
rb-3dp-ac04,Spatula Print Removal Tool,149,Stiff metal spatula for safe print removal from glass or PEI beds.,buy,yes,3dprint,3dprint,print-accessories
rb-3dp-ac05,Filament Dry Box with Roller,699,Sealed filament storage box with humidity card and PTFE outlet tube.,buy,yes,3dprint,3dprint,print-accessories

=== Prototyping ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  Breadboards & PCBs,,,,,,,,
rb-prt-b01,Breadboard 830 Tie Points,199,Full-size 830-point solderless breadboard with binding posts. Standard for prototyping.,buy,yes,proto,prototyping,proto-breadboard
rb-prt-b02,Double-Sided PCB 5x7cm (5pcs),99,5-pack of 5x7cm double-sided perf boards. 2.54mm hole pitch for DIP components.,buy,yes,proto,prototyping,proto-breadboard
rb-prt-b03,Double-Sided PCB 10x15cm (2pcs),149,2-pack of 10x15cm double-sided universal PCBs. Ideal for larger project boards.,buy,yes,proto,prototyping,proto-breadboard
rb-prt-b04,SMD Prototype PCB 5x7cm (5pcs),129,5-pack of SMD-capable PCBs with 0805 pads and SOT-23 footprints.,buy,yes,proto,prototyping,proto-breadboard
  Development Kits,,,,,,,,
rb-prt-k01,Arduino Starter Kit with Components,1499,"Arduino Uno R3, breadboard, jumper wires, LEDs, resistors, sensors — complete starter box.",buy,yes,proto,prototyping,proto-kit
rb-prt-k02,ESP32 IoT Development Kit,999,"ESP32 dev board, DHT22, relay, OLED, jumper wires — for IoT and Wi-Fi projects.",buy,yes,proto,prototyping,proto-kit
rb-prt-k03,Raspberry Pi Pico Starter Kit,799,"RPi Pico W, breadboard, LEDs, buttons, resistors, micro USB cable, and guide.",buy,yes,proto,prototyping,proto-kit
rb-prt-k04,Robot Car Chassis Kit (4WD),1299,"4-wheel drive chassis with DC motors, wheels, encoders, and motor driver module.",buy,yes,proto,prototyping,proto-kit
rb-prt-k05,Line Follower Robot Kit,1499,"Complete line-follower kit with IR sensors, L298N, Arduino Uno, and chassis.",buy,yes,proto,prototyping,proto-kit
  Enclosures,,,,,,,,
rb-prt-e01,ABS Project Box 100x60x25mm,149,"Black ABS enclosure for small electronics projects. Screw-top lid, 100x60x25mm.",buy,yes,proto,prototyping,proto-enclosure
rb-prt-e02,ABS Project Box 150x80x35mm,199,"Medium ABS project enclosure with flanged lid, 150x80x35mm.",buy,yes,proto,prototyping,proto-enclosure
rb-prt-e03,DIN Rail Enclosure 100mm,299,Snap-on ABS DIN rail enclosure for panel mounting. Fits standard rail.,buy,yes,proto,prototyping,proto-enclosure
rb-prt-e04,Raspberry Pi 4 Acrylic Case,299,"Clear acrylic layered case for RPi 4 with GPIO access, 4 standoffs, fan mount.",buy,yes,proto,prototyping,proto-enclosure
rb-prt-e05,Arduino Uno Acrylic Case,149,Clear acrylic case for Arduino Uno with USB and power cutouts.,buy,yes,proto,prototyping,proto-enclosure

